Experiencia,Fornecedor,Qtd_ingressos,Valor_cheio,Apareceu_transferir,Era_pra_transferir,Diferenca
Aula de Tufting (Ter/Qui/Sex),Lado B,1,270.00,170.10,189.00,18.90
Buquê de Flores,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores,Meigo Mimo,1,200.00,132.50,140.00,7.50
Buquê de Flores,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores,Meigo Mimo,2,400.00,252.00,280.00,28.00
Buquê de Flores & Home Spray,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores & Home Spray,Meigo Mimo,1,200.00,126.00,140.00,14.00
Buquê de Flores & Home Spray,Meigo Mimo,2,400.00,264.78,280.00,15.22
Buquê de Flores & Home Spray,Meigo Mimo,2,400.00,252.00,280.00,28.00
Buquê de Flores & Home Spray + Coffee Break São João,Meigo Mimo,1,220.00,145.73,154.00,8.27
Buquê de Flores & Home Spray + Coffee Break São João,Meigo Mimo,2,440.00,277.20,308.00,30.80
Buquê de Flores & Home Spray + Coffee Break São João,Meigo Mimo,1,220.00,145.73,154.00,8.27
Buquê de Flores & Home Spray + Coffee Break São João,Meigo Mimo,1,220.00,145.73,154.00,8.27
Collage Club,Collage Club,1,100.00,81.90,70.00,-11.90
Collage Club,Collage Club,1,100.00,81.90,70.00,-11.90
Collage Club,Collage Club,1,100.00,81.90,70.00,-11.90
Collage Club,Collage Club,2,200.00,132.50,140.00,7.50
Crie Seu Próprio Lip Balm,Pollen & Pop,2,560.00,352.80,392.00,39.20
Drinks & Petiscos - Limão e Café,Receitaria Escola Gourmet,1,425.00,268.10,297.50,29.40
Experiência em Ourivesaria: Crie sua Joia,Perséfone Lab,2,518.00,362.60,362.60,0.00
Gastronomia Molecular: Gelatinização & Espumas,Receitaria Escola Gourmet,1,425.00,268.10,297.50,29.40
Modelagem em Cerâmica: Single´s Day,Repô Cerâmica,1,250.00,157.50,175.00,17.50
Oficina de Bolsa de Crochê,Juliana Aoki,1,190.00,100.80,133.00,32.20
Oficina de Bolsa de Crochê,Juliana Aoki,1,190.00,100.80,133.00,32.20
Oficina de Bolsa de Crochê,Juliana Aoki,1,190.00,100.80,133.00,32.20
Oficina de Bolsa de Crochê,Juliana Aoki,1,190.00,100.80,133.00,32.20
Oficina de Bolsa de Crochê,Juliana Aoki,1,190.00,100.80,133.00,32.20
Oficina de Bolsa de Crochê,Juliana Aoki,1,190.00,100.80,133.00,32.20
Oficina de Bolsa de Crochê,Juliana Aoki,1,190.00,100.80,133.00,32.20
